Source,Destination,Bandwidth,v1,v2,v3    
DK-C004,DK-ISP3,5.5Mbps,1,1ms,20000
DK-C004,DK-ISP5,7.0Mbps,1,1ms,20000
DK-C005,DK-ISP5,3.5Mbps,1,1ms,20000
DK-C005,DK-ISP3,2.3Mbps,1,1ms,20000
DK-C006,DK-ISP3,3.8Mbps,1,1ms,20000
DK-C006,DK-ISP5,4.4Mbps,1,1ms,20000
DK-C007,DK-ISP2,3.5Mbps,1,1ms,20000
DK-C007,DK-ISP4,3.7Mbps,1,1ms,20000
DK-C008,DK-ISP4,4.3Mbps,1,1ms,20000
DK-C008,DK-ISP3,4.4Mbps,1,1ms,20000
DK-C009,DK-ISP4,2.1Mbps,1,1ms,20000
DK-C009,DK-ISP1,2.4Mbps,1,1ms,20000
DK-C010,DK-ISP2,2.6Mbps,1,1ms,20000
DK-C010,DK-ISP1,3.4Mbps,1,1ms,20000
DK-C011,DK-ISP1,6.5Mbps,1,1ms,20000
DK-C011,DK-ISP3,5.2Mbps,1,1ms,20000
DK-C012,DK-ISP5,3.1Mbps,1,1ms,20000
DK-C012,DK-ISP1,3.0Mbps,1,1ms,20000
DK-C013,DK-ISP3,2.4Mbps,1,1ms,20000
DK-C013,DK-ISP2,6.0Mbps,1,1ms,20000
DK-C014,DK-ISP5,6.4Mbps,1,1ms,20000
DK-C014,DK-ISP3,5.1Mbps,1,1ms,20000
ES-C001,ES-ISP8,3.8Mbps,1,1ms,20000
ES-C001,ES-ISP7,4.8Mbps,1,1ms,20000
ES-C002,ES-ISP2,8.7Mbps,1,1ms,20000
ES-C002,ES-ISP8,4.6Mbps,1,1ms,20000
ES-C003,ES-ISP1,1.5Mbps,1,1ms,20000
ES-C003,ES-ISP6,1.8Mbps,1,1ms,20000
ES-C004,ES-ISP4,3.6Mbps,1,1ms,20000
ES-C004,ES-ISP6,5.9Mbps,1,1ms,20000
ES-C005,ES-ISP1,2.1Mbps,1,1ms,20000
ES-C005,ES-ISP5,4.1Mbps,1,1ms,20000
ES-C006,ES-ISP8,3.6Mbps,1,1ms,20000
ES-C006,ES-ISP4,3.0Mbps,1,1ms,20000
ES-C007,ES-ISP1,7.4Mbps,1,1ms,20000
ES-C007,ES-ISP7,5.1Mbps,1,1ms,20000
ES-C008,ES-ISP5,2.7Mbps,1,1ms,20000
ES-C008,ES-ISP4,5.2Mbps,1,1ms,20000
ES-C009,ES-ISP4,2.4Mbps,1,1ms,20000
ES-C009,ES-ISP7,5.1Mbps,1,1ms,20000
ES-C010,ES-ISP3,2.4Mbps,1,1ms,20000
ES-C010,ES-ISP6,3.4Mbps,1,1ms,20000
ES-C011,ES-ISP8,1.5Mbps,1,1ms,20000
ES-C011,ES-ISP1,2.9Mbps,1,1ms,20000
FI-C001,FI-ISP5,3.8Mbps,1,1ms,20000
FI-C001,FI-ISP6,4.7Mbps,1,1ms,20000
FI-C002,FI-ISP7,2.3Mbps,1,1ms,20000
FI-C002,FI-ISP4,6.1Mbps,1,1ms,20000
FI-C003,FI-ISP4,4.9Mbps,1,1ms,20000
FI-C003,FI-ISP2,1.7Mbps,1,1ms,20000
FI-C004,FI-ISP2,3.7Mbps,1,1ms,20000
FI-C004,FI-ISP1,4.0Mbps,1,1ms,20000
FI-C005,FI-ISP9,3.0Mbps,1,1ms,20000
FI-C005,FI-ISP1,3.6Mbps,1,1ms,20000
FI-C006,FI-ISP1,2.5Mbps,1,1ms,20000
FI-C006,FI-ISP5,6.1Mbps,1,1ms,20000
FI-C007,FI-ISP6,3.6Mbps,1,1ms,20000
FI-C007,FI-ISP1,1.7Mbps,1,1ms,20000
FI-C008,FI-ISP3,3.1Mbps,1,1ms,20000
FI-C008,FI-ISP2,3.2Mbps,1,1ms,20000
FI-C009,FI-ISP3,1.9Mbps,1,1ms,20000
FI-C009,FI-ISP4,5.5Mbps,1,1ms,20000
FI-C010,FI-ISP7,3.3Mbps,1,1ms,20000
FI-C010,FI-ISP2,4.9Mbps,1,1ms,20000
FI-C011,FI-ISP4,3.2Mbps,1,1ms,20000
FI-C011,FI-ISP8,3.4Mbps,1,1ms,20000
FO-C001,FO-ISP4,5.3Mbps,1,1ms,20000
FO-C001,FO-ISP1,5.0Mbps,1,1ms,20000
FO-C002,FO-ISP4,4.6Mbps,1,1ms,20000
FO-C002,FO-ISP2,1.6Mbps,1,1ms,20000
FO-C003,FO-ISP3,1.5Mbps,1,1ms,20000
FO-C003,FO-ISP1,4.5Mbps,1,1ms,20000
FO-C004,FO-ISP2,4.0Mbps,1,1ms,20000
FO-C004,FO-ISP4,4.9Mbps,1,1ms,20000
FO-C005,FO-ISP4,3.0Mbps,1,1ms,20000
FO-C005,FO-ISP1,3.1Mbps,1,1ms,20000
FO-C006,FO-ISP1,6.4Mbps,1,1ms,20000
FO-C006,FO-ISP4,3.1Mbps,1,1ms,20000
FO-C007,FO-ISP4,3.2Mbps,1,1ms,20000
FO-C007,FO-ISP2,2.0Mbps,1,1ms,20000
FO-C008,FO-ISP1,5.1Mbps,1,1ms,20000
FO-C008,FO-ISP4,4.6Mbps,1,1ms,20000
FO-C009,FO-ISP2,4.9Mbps,1,1ms,20000
FO-C009,FO-ISP1,2.0Mbps,1,1ms,20000
FO-C010,FO-ISP3,3.1Mbps,1,1ms,20000
FO-C010,FO-ISP1,3.6Mbps,1,1ms,20000
FO-C011,FO-ISP1,1.5Mbps,1,1ms,20000
FO-C011,FO-ISP3,1.5Mbps,1,1ms,20000
FO-C012,FO-ISP4,2.9Mbps,1,1ms,20000
FO-C012,FO-ISP1,4.5Mbps,1,1ms,20000
FR-C001,FR-ISP3,3.4Mbps,1,1ms,20000
FR-C001,FR-ISP1,1.5Mbps,1,1ms,20000
FR-C002,FR-ISP3,5.9Mbps,1,1ms,20000
FR-C002,FR-ISP2,1.9Mbps,1,1ms,20000
FR-C003,FR-ISP4,5.9Mbps,1,1ms,20000
FR-C003,FR-ISP3,4.4Mbps,1,1ms,20000
FR-C004,FR-ISP4,5.5Mbps,1,1ms,20000
FR-C004,FR-ISP1,5.0Mbps,1,1ms,20000
FR-C005,FR-ISP3,4.6Mbps,1,1ms,20000
FR-C005,FR-ISP2,5.4Mbps,1,1ms,20000
FR-C006,FR-ISP4,5.0Mbps,1,1ms,20000
FR-C006,FR-ISP1,4.8Mbps,1,1ms,20000
FR-C007,FR-ISP1,5.7Mbps,1,1ms,20000
FR-C007,FR-ISP3,4.2Mbps,1,1ms,20000
FR-C008,FR-ISP5,6.0Mbps,1,1ms,20000
FR-C008,FR-ISP2,5.2Mbps,1,1ms,20000
FR-C009,FR-ISP2,5.0Mbps,1,1ms,20000
FR-C009,FR-ISP1,4.6Mbps,1,1ms,20000
FR-C010,FR-ISP1,7.9Mbps,1,1ms,20000
FR-C010,FR-ISP4,3.9Mbps,1,1ms,20000
FR-C011,FR-ISP4,2.9Mbps,1,1ms,20000
FR-C011,FR-ISP3,5.0Mbps,1,1ms,20000
FR-C012,FR-ISP4,1.5Mbps,1,1ms,20000
FR-C012,FR-ISP1,4.5Mbps,1,1ms,20000
FR-C013,FR-ISP3,3.3Mbps,1,1ms,20000
FR-C013,FR-ISP1,3.4Mbps,1,1ms,20000
FR-C014,FR-ISP2,1.9Mbps,1,1ms,20000
FR-C014,FR-ISP3,3.2Mbps,1,1ms,20000
FR-C015,FR-ISP5,3.3Mbps,1,1ms,20000
FR-C015,FR-ISP4,3.9Mbps,1,1ms,20000
FR-C016,FR-ISP1,6.2Mbps,1,1ms,20000
FR-C016,FR-ISP5,4.7Mbps,1,1ms,20000
FR-C017,FR-ISP4,5.3Mbps,1,1ms,20000
FR-C017,FR-ISP1,3.2Mbps,1,1ms,20000
GB-C001,GB-ISP4,3.7Mbps,1,1ms,20000
GB-C001,GB-ISP2,7.0Mbps,1,1ms,20000
GB-C002,GB-ISP1,6.3Mbps,1,1ms,20000
GB-C002,GB-ISP5,4.0Mbps,1,1ms,20000
GB-C003,GB-ISP2,2.4Mbps,1,1ms,20000
GB-C003,GB-ISP7,4.8Mbps,1,1ms,20000
GB-C004,GB-ISP4,5.4Mbps,1,1ms,20000
GB-C004,GB-ISP6,1.8Mbps,1,1ms,20000
GB-C005,GB-ISP7,6.9Mbps,1,1ms,20000
GB-C005,GB-ISP5,5.9Mbps,1,1ms,20000
GB-C006,GB-ISP6,5.3Mbps,1,1ms,20000
GB-C006,GB-ISP3,4.4Mbps,1,1ms,20000
GB-C007,GB-ISP6,5.2Mbps,1,1ms,20000
GB-C007,GB-ISP2,1.5Mbps,1,1ms,20000
GB-C008,GB-ISP5,5.0Mbps,1,1ms,20000
GB-C008,GB-ISP8,5.5Mbps,1,1ms,20000
GB-C009,GB-ISP6,2.4Mbps,1,1ms,20000
GB-C009,GB-ISP4,3.4Mbps,1,1ms,20000
GB-C010,GB-ISP5,2.6Mbps,1,1ms,20000
GB-C010,GB-ISP1,1.5Mbps,1,1ms,20000
GB-C011,GB-ISP7,4.7Mbps,1,1ms,20000
GB-C011,GB-ISP5,1.6Mbps,1,1ms,20000
GB-C012,GB-ISP6,2.7Mbps,1,1ms,20000
GB-C012,GB-ISP3,2.6Mbps,1,1ms,20000
GB-C013,GB-ISP4,4.3Mbps,1,1ms,20000
GB-C013,GB-ISP5,6.2Mbps,1,1ms,20000
GB-C014,GB-ISP6,6.0Mbps,1,1ms,20000
GB-C014,GB-ISP4,1.5Mbps,1,1ms,20000
GB-C015,GB-ISP2,2.0Mbps,1,1ms,20000
GB-C015,GB-ISP3,3.2Mbps,1,1ms,20000
GB-C016,GB-ISP5,1.9Mbps,1,1ms,20000
GB-C016,GB-ISP6,5.0Mbps,1,1ms,20000
IE-C001,IE-ISP6,2.8Mbps,1,1ms,20000
IE-C001,IE-ISP2,4.7Mbps,1,1ms,20000
IE-C002,IE-ISP1,5.0Mbps,1,1ms,20000
IE-C002,IE-ISP7,3.9Mbps,1,1ms,20000
IE-C003,IE-ISP4,6.8Mbps,1,1ms,20000
IE-C003,IE-ISP1,2.6Mbps,1,1ms,20000
IE-C004,IE-ISP6,3.2Mbps,1,1ms,20000
IE-C004,IE-ISP5,2.2Mbps,1,1ms,20000
IE-C005,IE-ISP3,2.8Mbps,1,1ms,20000
IE-C005,IE-ISP4,4.1Mbps,1,1ms,20000
IE-C006,IE-ISP1,7.1Mbps,1,1ms,20000
IE-C006,IE-ISP8,4.5Mbps,1,1ms,20000
IE-C007,IE-ISP8,2.3Mbps,1,1ms,20000
IE-C007,IE-ISP7,4.5Mbps,1,1ms,20000
IE-C008,IE-ISP6,3.5Mbps,1,1ms,20000
IE-C008,IE-ISP1,2.2Mbps,1,1ms,20000
IE-C009,IE-ISP4,4.7Mbps,1,1ms,20000
IE-C009,IE-ISP3,4.1Mbps,1,1ms,20000
IE-C010,IE-ISP7,1.6Mbps,1,1ms,20000
IE-C010,IE-ISP6,1.8Mbps,1,1ms,20000
IE-C011,IE-ISP2,3.4Mbps,1,1ms,20000
IE-C011,IE-ISP6,2.9Mbps,1,1ms,20000
IE-C012,IE-ISP3,2.4Mbps,1,1ms,20000
IE-C012,IE-ISP8,3.5Mbps,1,1ms,20000
IE-C013,IE-ISP5,5.4Mbps,1,1ms,20000
IE-C013,IE-ISP4,1.8Mbps,1,1ms,20000
IT-C001,IT-ISP6,3.6Mbps,1,1ms,20000
IT-C001,IT-ISP5,5.0Mbps,1,1ms,20000
IT-C002,IT-ISP8,4.6Mbps,1,1ms,20000
IT-C002,IT-ISP10,5.5Mbps,1,1ms,20000
IT-C003,IT-ISP1,2.2Mbps,1,1ms,20000
IT-C003,IT-ISP2,5.7Mbps,1,1ms,20000
IT-C004,IT-ISP8,8.2Mbps,1,1ms,20000
IT-C004,IT-ISP1,5.8Mbps,1,1ms,20000
IT-C005,IT-ISP6,6.3Mbps,1,1ms,20000
IT-C005,IT-ISP4,4.9Mbps,1,1ms,20000
IT-C006,IT-ISP10,3.1Mbps,1,1ms,20000
IT-C006,IT-ISP1,2.5Mbps,1,1ms,20000
IT-C007,IT-ISP4,4.2Mbps,1,1ms,20000
IT-C007,IT-ISP2,3.5Mbps,1,1ms,20000
IT-C008,IT-ISP2,4.1Mbps,1,1ms,20000
IT-C008,IT-ISP3,4.0Mbps,1,1ms,20000
IT-C009,IT-ISP4,2.9Mbps,1,1ms,20000
IT-C009,IT-ISP5,6.4Mbps,1,1ms,20000
IT-C010,IT-ISP1,3.7Mbps,1,1ms,20000
IT-C010,IT-ISP4,6.4Mbps,1,1ms,20000
IT-C011,IT-ISP2,6.0Mbps,1,1ms,20000
IT-C011,IT-ISP6,3.4Mbps,1,1ms,20000
IT-C012,IT-ISP10,2.6Mbps,1,1ms,20000
IT-C012,IT-ISP3,2.7Mbps,1,1ms,20000
IT-C013,IT-ISP8,3.4Mbps,1,1ms,20000
IT-C013,IT-ISP1,5.0Mbps,1,1ms,20000
IT-C014,IT-ISP5,2.2Mbps,1,1ms,20000
IT-C014,IT-ISP1,4.0Mbps,1,1ms,20000
IT-C015,IT-ISP5,3.6Mbps,1,1ms,20000
IT-C015,IT-ISP6,4.6Mbps,1,1ms,20000
IT-C016,IT-ISP9,4.9Mbps,1,1ms,20000
IT-C016,IT-ISP5,3.3Mbps,1,1ms,20000
NL-C001,NL-ISP3,1.8Mbps,1,1ms,20000
NL-C001,NL-ISP5,5.9Mbps,1,1ms,20000
NL-C002,NL-ISP4,6.0Mbps,1,1ms,20000
NL-C002,NL-ISP1,2.6Mbps,1,1ms,20000
NL-C003,NL-ISP5,4.2Mbps,1,1ms,20000
NL-C003,NL-ISP3,5.7Mbps,1,1ms,20000
NL-C004,NL-ISP1,4.4Mbps,1,1ms,20000
NL-C004,NL-ISP6,4.3Mbps,1,1ms,20000
NL-C005,NL-ISP5,7.0Mbps,1,1ms,20000
NL-C005,NL-ISP8,1.8Mbps,1,1ms,20000
NL-C006,NL-ISP5,3.8Mbps,1,1ms,20000
NL-C006,NL-ISP8,3.8Mbps,1,1ms,20000
NL-C007,NL-ISP1,4.9Mbps,1,1ms,20000
NL-C007,NL-ISP7,2.5Mbps,1,1ms,20000
NL-C008,NL-ISP7,1.5Mbps,1,1ms,20000
NL-C008,NL-ISP1,2.8Mbps,1,1ms,20000
NL-C009,NL-ISP1,1.5Mbps,1,1ms,20000
NL-C009,NL-ISP5,3.2Mbps,1,1ms,20000
NL-C010,NL-ISP8,3.5Mbps,1,1ms,20000
NL-C010,NL-ISP1,3.0Mbps,1,1ms,20000
NL-C011,NL-ISP5,3.0Mbps,1,1ms,20000
NL-C011,NL-ISP8,1.5Mbps,1,1ms,20000
NL-C012,NL-ISP7,4.7Mbps,1,1ms,20000
NL-C012,NL-ISP8,4.0Mbps,1,1ms,20000
NL-C013,NL-ISP7,2.2Mbps,1,1ms,20000
NL-C013,NL-ISP5,1.5Mbps,1,1ms,20000
NL-C014,NL-ISP6,2.6Mbps,1,1ms,20000
NL-C014,NL-ISP5,4.7Mbps,1,1ms,20000
NL-C015,NL-ISP2,3.5Mbps,1,1ms,20000
NL-C015,NL-ISP4,3.4Mbps,1,1ms,20000
NL-C016,NL-ISP7,5.8Mbps,1,1ms,20000
NL-C016,NL-ISP1,4.1Mbps,1,1ms,20000
NL-C017,NL-ISP5,3.1Mbps,1,1ms,20000
NL-C017,NL-ISP3,4.4Mbps,1,1ms,20000
NL-C018,NL-ISP5,2.1Mbps,1,1ms,20000
NL-C018,NL-ISP7,4.2Mbps,1,1ms,20000
NL-C019,NL-ISP8,2.1Mbps,1,1ms,20000
NL-C019,NL-ISP7,4.0Mbps,1,1ms,20000
NL-C020,NL-ISP5,1.5Mbps,1,1ms,20000
NL-C020,NL-ISP4,4.7Mbps,1,1ms,20000
NO-C001,NO-ISP6,5.1Mbps,1,1ms,20000
NO-C001,NO-ISP9,5.6Mbps,1,1ms,20000
NO-C002,NO-ISP8,2.0Mbps,1,1ms,20000
NO-C002,NO-ISP3,5.0Mbps,1,1ms,20000
NO-C003,NO-ISP10,2.7Mbps,1,1ms,20000
NO-C003,NO-ISP8,6.5Mbps,1,1ms,20000
NO-C004,NO-ISP9,3.4Mbps,1,1ms,20000
NO-C004,NO-ISP7,2.0Mbps,1,1ms,20000
NO-C005,NO-ISP9,4.4Mbps,1,1ms,20000
NO-C005,NO-ISP8,1.8Mbps,1,1ms,20000
NO-C006,NO-ISP4,4.5Mbps,1,1ms,20000
NO-C006,NO-ISP9,3.1Mbps,1,1ms,20000
NO-C007,NO-ISP9,5.5Mbps,1,1ms,20000
NO-C007,NO-ISP1,2.6Mbps,1,1ms,20000
NO-C008,NO-ISP2,5.9Mbps,1,1ms,20000
NO-C008,NO-ISP5,3.3Mbps,1,1ms,20000
NO-C009,NO-ISP10,4.1Mbps,1,1ms,20000
NO-C009,NO-ISP8,5.6Mbps,1,1ms,20000
NO-C010,NO-ISP2,4.3Mbps,1,1ms,20000
NO-C010,NO-ISP8,4.1Mbps,1,1ms,20000
NO-C011,NO-ISP3,6.3Mbps,1,1ms,20000
NO-C011,NO-ISP10,3.6Mbps,1,1ms,20000
NO-C012,NO-ISP6,4.1Mbps,1,1ms,20000
NO-C012,NO-ISP1,3.3Mbps,1,1ms,20000
NO-C013,NO-ISP3,4.5Mbps,1,1ms,20000
NO-C013,NO-ISP10,3.2Mbps,1,1ms,20000
NO-C014,NO-ISP3,4.3Mbps,1,1ms,20000
NO-C014,NO-ISP9,4.4Mbps,1,1ms,20000
PL-C001,PL-ISP3,4.8Mbps,1,1ms,20000
PL-C001,PL-ISP7,2.3Mbps,1,1ms,20000
PL-C002,PL-ISP1,3.8Mbps,1,1ms,20000
PL-C002,PL-ISP3,2.7Mbps,1,1ms,20000
PL-C003,PL-ISP6,5.5Mbps,1,1ms,20000
PL-C003,PL-ISP2,7.3Mbps,1,1ms,20000
PL-C004,PL-ISP1,7.4Mbps,1,1ms,20000
PL-C004,PL-ISP6,4.3Mbps,1,1ms,20000
PL-C005,PL-ISP4,4.4Mbps,1,1ms,20000
PL-C005,PL-ISP5,5.2Mbps,1,1ms,20000
PL-C006,PL-ISP7,2.6Mbps,1,1ms,20000
PL-C006,PL-ISP4,5.1Mbps,1,1ms,20000
PL-C007,PL-ISP6,5.6Mbps,1,1ms,20000
PL-C007,PL-ISP3,5.7Mbps,1,1ms,20000
PL-C008,PL-ISP6,2.9Mbps,1,1ms,20000
PL-C008,PL-ISP3,5.8Mbps,1,1ms,20000
PL-C009,PL-ISP6,1.9Mbps,1,1ms,20000
PL-C009,PL-ISP8,5.3Mbps,1,1ms,20000
PL-C010,PL-ISP1,3.3Mbps,1,1ms,20000
PL-C010,PL-ISP8,5.3Mbps,1,1ms,20000
PL-C011,PL-ISP4,7.0Mbps,1,1ms,20000
PL-C011,PL-ISP8,4.4Mbps,1,1ms,20000
PL-C012,PL-ISP2,1.7Mbps,1,1ms,20000
PL-C012,PL-ISP3,4.3Mbps,1,1ms,20000
PL-C013,PL-ISP3,4.3Mbps,1,1ms,20000
PL-C013,PL-ISP4,4.0Mbps,1,1ms,20000
SE-C001,SE-ISP2,5.5Mbps,1,1ms,20000
SE-C001,SE-ISP5,3.6Mbps,1,1ms,20000
SE-C002,SE-ISP5,2.6Mbps,1,1ms,20000
SE-C002,SE-ISP4,1.5Mbps,1,1ms,20000
SE-C003,SE-ISP5,1.6Mbps,1,1ms,20000
SE-C003,SE-ISP1,5.0Mbps,1,1ms,20000
SE-C004,SE-ISP2,2.8Mbps,1,1ms,20000
SE-C004,SE-ISP3,2.2Mbps,1,1ms,20000
SE-C005,SE-ISP5,4.6Mbps,1,1ms,20000
SE-C005,SE-ISP4,2.2Mbps,1,1ms,20000
SE-C006,SE-ISP3,3.3Mbps,1,1ms,20000
SE-C006,SE-ISP5,5.3Mbps,1,1ms,20000
SE-C007,SE-ISP1,6.6Mbps,1,1ms,20000
SE-C007,SE-ISP6,2.4Mbps,1,1ms,20000
SE-C008,SE-ISP5,5.7Mbps,1,1ms,20000
SE-C008,SE-ISP4,3.8Mbps,1,1ms,20000
SE-C009,SE-ISP1,2.2Mbps,1,1ms,20000
SE-C009,SE-ISP2,6.6Mbps,1,1ms,20000
